Datum;Eröffnungspreis
2017-01-01;35,38
2017-04-01;37,06
2017-07-01;35,83
2017-10-01;36,11
2018-01-01;37,26
2018-04-01;35,33
2018-07-01;37,8
2018-10-01;40,2
2019-01-01;34,56
2019-04-01;40,26
2019-07-01;41,4
2019-10-01;42,81
2020-01-01;44,91
2020-04-01;35,19
2020-07-01;41,67
2020-10-01;43,2
2021-01-01;46,99
2021-04-01;51,16
2021-07-01;54,28
2021-10-01;54,62
2022-01-01;60,85
2022-04-01;58,91
2022-07-01;51,25
2022-10-01;51,81
2023-01-01;52,29
2023-04-01;54,92
2023-07-01;58,05
2023-10-01;57,59
2024-01-01;61,31
2024-04-01;67,99
2024-07-01;69,81
2024-10-01;71,24
